MTH_TEL_BILL,als_m3_id_nbank_tot_mons,als_m12_id_bank_tot_mons,RACE,SINGE_DATE,BIRTHDAY,m1_num,als_lst_id_bank_inteday,als_lst_id_nbank_consnum,m6_num,als_m6_id_nbank_tot_mons,d15_num,TOTAL_PRICE,m6_day,LOAN_AMT,APROV_DURATION,DOWN_PAY,als_fst_id_nbank_inteday,als_m3_id_tot_mons,m12_num,als_m12_id_tot_mons,m12_day,FIRST_REPAY,als_fst_id_bank_inteday,als_m6_id_tot_mons,FLX_PACKAGE,m3_day,m3_num,MONTH_RATE,REPAY_DAY,als_m12_id_nbank_tot_mons,als_lst_id_bank_consnum,MTH_REPAY_AMT,als_m6_id_bank_tot_mons,d7_num,y
0,1,0,0,2,32,8,0,1,12,1,8,3926,712,3126,0.85,800,1,1,12,1,1428,195,0,1,0.72,352,12,1.98,8,1,0,195,0,8,0
1,1,2,0,2,28,16,293,1,24,1,16,3690,4,3190,1.58,500,196,1,41.75,4,422,377,309,1,0.91,4,24,1.98,28,2,1,377,0,16,0
1,1,0,0,2,27,10,0,1,14,1,10,3493,712,3094,0.58,399,1,1,14,1,1428,193,0,1,1.05,352,14,1.67,10,1,0,193,0,10,0
0,1,0,1,2,31,10,0,1,14,1,10,1589,712,1589,1,0,1,1,14,1,1428,170,0,1,0.23,352,14,1.03,11,1,0,170,0,10,1
1,1,0,1,2,20,16,0,2,24,1,16,6831,712,5331,1.02,1500,1,1,24,1,1428,630,0,1,0.67,352,24,1.67,8,1,0,630,0,16,0
0,1,0,1,2,31,16,0,1,24,1,16,1596,8,1396,0.93,200,3,1,24,1,8,165,0,1,0.67,8,24,1.67,1,1,0,165,0,16,0
0,2,0,0,3,20,16,0,1,31,2,16,6087,172,4587,0.98,1500,229,2,48.5,4,212,542,0,2,0.67,172,31,1.67,8,4,0,542,0,16,0
0,2,0,1,4,20,8,0,1,49.34,3,8,3552,172,3252,0.53,300,149,2,49.34,3,172,348,0,3,0.23,340,22,1.03,12,3,0,348,0,8,0
0,1,0,1,3,28,8,0,1,12,1,8,2873,712,2673,0.83,200,272,1,24,3,542,286,0,1,0.23,352,12,1.03,28,3,0,286,0,8,0
1,1,0,0,2,53,10,0,1,14,1,10,4432,712,4232,0.95,200,1,1,14,1,1428,264,0,1,1.05,352,14,1.67,4,1,0,264,0,10,0
0,1,0,0,2,31,8,0,1,12,1,8,1529,712,1529,1.03,0,1,1,12,1,1428,138,0,1,0.5,352,12,1.09,5,1,0,138,0,8,0
0,1,0,0,4,36,8,0,1,12,1,8,1529,712,1529,0.73,0,1,1,12,1,1428,138,0,1,0.5,352,12,1.09,28,1,0,138,0,8,0
1,1,0,1,3,30,8,0,1,12,1,8,3466,712,2666,0.85,800,1,1,12,1,1428,315,0,1,0.67,352,12,1.67,8,1,0,315,0,8,0
1,1,1,0,3,31,8,104,1,48,3,8,6362,196,5362,1.13,1000,121,1,48,3,196,484,104,3,0.65,352,12,1.67,6,3,1,484,1,8,0
0,1,1,0,3,39,8,83,1,22,1,8,2892,164,2692,8.95,200,1,2,22,2,164,288,83,2,0.23,164,22,1.03,8,1,1,288,1,8,0
1,1,0,0,2,20,8,0,1,12,1,8,4280,712,4280,1.73,0,1,1,12,1,1428,267,0,1,0.72,352,12,1.98,5,1,0,267,0,8,0
0,1,0,0,1,38,10,0,1,14,1,10,4372,712,4072,0.87,300,1,1,14,1,1428,254,0,1,1.05,352,14,1.67,4,1,0,254,0,10,0
0,1,0,0,1,29,8,0,1,12,1,8,2083,712,2083,0.9,0,1,1,12,1,1428,188,0,1,0.5,352,12,1.09,2,1,0,188,0,8,0
0,1,0,1,2,20,10,0,1,14,1,10,4937,712,4937,0.53,0,1,1,14,1,1428,308,0,1,1.05,352,14,1.67,10,1,0,308,0,10,0
1,1,0,0,2,26,8,0,1,12,1,8,3224,712,3224,11.27,0,213,1,20,2,848,345,0,1,0.23,352,12,1.03,2,2,0,345,0,8,0
0,1,0,0,2,54,8,0,1,12,1,8,3083,712,2083,1.1,1000,1,1,12,1,1428,188,0,1,0.5,352,12,1.09,6,1,0,188,0,8,0
0,1,0,0,2,21,10,0,1,14,1,10,6406,712,4206,0.73,2200,195,1,22,2,776,497,0,1,0.38,352,14,1.03,11,2,0,497,0,10,0
1,1,0,1,2,21,10,0,1,24,2,10,3983,684,2183,1.1,1800,172,1,24,2,684,197,0,2,0.81,352,14,1.98,4,2,0,197,0,10,0
0,1,0,0,2,30,8,0,1,12,1,8,3156,712,3156,0.75,0,1,1,12,1,1428,373,0,1,0.67,352,12,1.67,6,1,0,373,0,8,1
1,1,0,0,2,30,10,0,1,14,1,10,2083,712,2083,0.77,0,1,1,14,1,1428,188,0,1,0.89,352,14,1.33,11,1,0,188,0,10,0
1,1,0,0,2,33,8,0,1,12,1,8,3382,712,3382,0.68,0,346,1,20,2,1380,211,0,1,1.05,352,12,1.67,8,2,0,211,0,8,0
0,1,1,1,4,47,10,247,1,14,1,10,1529,712,1529,0.75,0,262,1,33.5,2,783,138,247,1,0.65,352,14,1.67,4,2,1,138,0,10,0
1,1,0,1,3,20,8,0,1,12,1,8,3224,712,3224,0.8,0,2,1,12,1,1428,345,0,1,0.23,352,12,1.03,6,1,0,345,0,8,0
0,1,0,0,4,27,10,0,1,24,2,10,1529,616,1529,0.85,0,308,1,40.66,3,310,138,0,2,0.5,352,14,1.09,4,3,0,138,0,10,0
0,1,0,1,2,35,8,0,1,20,2,8,3002,644,3002,0.97,0,162,1,20,2,644,271,0,2,0.65,352,12,1.67,8,2,0,271,0,8,1
1,1,0,1,3,52,10,0,1,14,1,10,3002,712,3002,0.98,0,1,1,14,1,1428,271,0,1,0.81,352,14,1.98,4,1,0,271,0,10,0
0,1,0,0,2,50,8,0,1,12,1,8,2083,712,2083,1.4,0,1,1,12,1,1428,188,0,1,0.5,352,12,1.09,1,1,0,188,0,8,0
0,3,0,0,2,22,10,0,1,36.66,3,10,9117,98,7117,0.5,2000,81,3,36.66,3,98,444,0,3,0.8,98,38.66,1.33,11,3,0,444,0,10,0
0,1,0,1,2,28,8,0,2,31,2,8,1529,308,1529,0.88,0,155,1,31,2,308,138,0,2,0.5,352,12,1.09,14,2,0,138,0,8,0
1,1,0,0,2,30,16,0,2,24,1,16,11293,712,7293,0.82,4000,1,1,24,1,1428,455,0,1,1.05,352,24,1.67,14,1,0,455,0,16,0
0,1,0,1,2,23,10,0,1,14,1,10,1819,712,1819,0.8,0,1,1,14,1,1428,215,0,1,0.67,352,14,1.67,10,1,0,215,0,10,0
0,1,0,0,2,21,10,0,1,14,1,10,2638,712,2338,0.87,300,1,1,14,1,1428,211,0,1,0.65,352,14,1.67,10,1,0,211,0,10,0
1,1,0,0,2,41,8,0,1,12,1,8,3229,712,2729,1,500,331,1,20,2,1320,292,0,1,0.23,352,12,1.03,6,2,0,292,0,8,0
0,1,0,0,4,52,10,0,1,14,1,10,1529,712,1529,0.77,0,1,1,14,1,1428,138,0,1,0.5,352,14,1.09,4,1,0,138,0,10,0
0,1,0,0,2,27,8,0,1,12,1,8,3856,712,3156,0.8,700,1,1,12,1,1428,373,0,1,0.67,352,12,1.67,12,1,0,373,0,8,0
0,1,0,0,2,23,8,0,1,12,1,8,2083,712,2083,6.58,0,1,1,12,1,1428,188,0,1,0.5,352,12,1.09,6,1,0,188,0,8,0
0,1,1,0,3,26,8,68,1,20,1,8,2093,134,2083,1.07,10,1,2,20,2,134,188,68,2,0.5,134,20,1.09,6,1,1,188,1,8,0
1,1,0,0,1,49,8,0,1,12,1,8,1529,712,1529,0.77,0,1,1,12,1,1428,138,0,1,0.65,352,12,1.67,7,1,0,138,0,8,0
0,1,0,0,2,36,8,0,1,12,1,8,4600,712,4600,8.05,0,1,1,12,1,1428,287,0,1,0.72,352,12,1.98,13,1,0,287,0,8,0
0,1,0,0,2,28,20,0,2,28,1,20,9548,712,7168,0.95,2380,1,1,28,1,1428,647,0,1,0.65,352,28,1.67,3,1,0,647,0,20,0
1,1,0,0,2,26,8,0,1,12,1,8,4224,712,3224,1.47,1000,1,1,12,1,1428,291,0,1,0.65,352,12,1.67,2,1,0,291,0,8,0
0,1,0,0,1,20,8,0,1,12,1,8,3162,712,3112,1.05,50,358,1,20,2,1428,333,0,1,0.23,352,12,1.03,28,2,0,333,0,8,0
0,1,0,0,3,21,8,0,1,12,1,8,2547,712,2547,7.5,0,1,1,12,1,1428,301,0,1,0.67,352,12,1.67,12,1,0,301,0,8,0
1,1,0,0,3,43,8,0,1,12,1,8,1407,712,1407,0.95,0,334,1,20,2,1332,127,0,1,0.5,352,12,1.09,12,2,0,127,0,8,0
0,0,0,0,1,37,0,0,1,0,0,0,2083,712,2083,6.47,0,233,0,12,1,1428,188,0,0,0.89,352,0,1.33,28,1,0,188,0,0,0
1,1,0,0,3,43,8,0,1,12,1,8,3409,712,3009,1.25,400,1,1,12,1,1428,322,0,1,0.23,352,12,1.03,6,1,0,322,0,8,0
0,1,0,1,2,20,10,0,1,14,1,10,3046,712,3046,0.9,0,1,1,14,1,1428,190,0,1,0.72,352,14,1.98,10,1,0,190,0,10,0
0,1,0,0,4,47,8,0,1,12,1,8,2083,712,2083,1.73,0,1,1,12,1,1428,188,0,1,0.5,352,12,1.09,8,1,0,188,0,8,0
0,1,1,0,2,25,16,257,1,24,1,16,11315,712,6315,1.28,5000,286,1,40.83,3,541,570,257,1,0.89,352,24,1.33,9,2,1,570,0,16,0
